siren,siret,finess,nom,type,naf,libelle,commune,departement,telephone,source
841695737,84169573700020,,TRANSPORTS TLB,livraison,49.41B,Transports routiers de fret de proximite,TAPONAS,69,,sirene
820081636,82008163600012,,TRANSPORTS CANNARD - GIRARD,livraison,49.41B,Transports routiers de fret de proximite,MANTENAY-MONTLIN,01,,sirene
438329666,43832966600012,,TRANSPORTS DOMMANGE,livraison,53.20Z,Autres activites de poste et de courrier,BUELLAS,01,,sirene
827755109,82775510900028,,JD LOGISTOCKS,livraison,49.41B,Transports routiers de fret de proximite,ARNAS,69,,sirene
852312511,85231251100029,,JURA LEMAN TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,GEX,01,,sirene
761200740,76120074000014,,TRANSPORTS ROUSSET,livraison,49.41B,Transports routiers de fret de proximite,PONCIN,01,,sirene
491671335,49167133500058,,SPEED MOVE,livraison,49.41B,Transports routiers de fret de proximite,GRENAY,38,,sirene
487878134,48787813400013,,A.P.C.,livraison,49.41B,Transports routiers de fret de proximite,SAINT-NIZIER-LE-BOUCHOUX,01,,sirene
879747301,87974730100023,,AYM TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,BELLIGNAT,01,,sirene
842982274,84298227400016,,NAHEL TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,SAINT-MARTIN-DU-MONT,01,,sirene
895293371,89529337100020,,TEEF,livraison,49.41B,Transports routiers de fret de proximite,LA BOISSE,01,,sirene
533806097,53380609700044,,BLM TRANSPRESS,livraison,49.41B,Transports routiers de fret de proximite,SAINT-MAURICE-DE-BEYNOST,01,,sirene
813255205,81325520500011,,TRANSPORTS SALIM HASSEN,livraison,49.41B,Transports routiers de fret de proximite,CHALEINS,01,,sirene
521890871,52189087100010,,AIN PORTAGE DIFFUSION,livraison,53.20Z,Autres activites de poste et de courrier,SAINT-RAMBERT-EN-BUGEY,01,,sirene
384822037,38482203700170,,GIRAUD ZONE LONGUE,livraison,49.41B,Transports routiers de fret de proximite,MERY,73,,sirene
326067691,32606769100013,,SARL PAPIN,livraison,49.41B,Transports routiers de fret de proximite,SOIZE,02,,sirene
503521346,50352134600026,,TRANSPORTS BOITEL-RYNDERS,livraison,49.41B,Transports routiers de fret de proximite,SAINT-SAULVE,59,,sirene
716580089,71658008900069,,ETABLISSEMENTS MASCITTI NINO SA,livraison,49.41B,Transports routiers de fret de proximite,VILLERS-COTTERETS,02,,sirene
717180087,71718008700024,,ANETT NORD-PICARDIE,livraison,96.01A,Blanchisserie-teinturerie de gros,THOUARS,79,,sirene
841273444,84127344400015,,DEMENAGEMENTS CASTEL BERNARD,livraison,49.41B,Transports routiers de fret de proximite,NOGENTEL,02,,sirene
493058770,49305877000063,,BGE TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,LAON,02,,sirene
342268190,34226819000036,,SOCIETE TOPORNICKI PERE ET FILS,livraison,49.41B,Transports routiers de fret de proximite,AULNOIS SOUS LAON,02,,sirene
814910766,81491076600017,,PERRENOT PICARDIE,livraison,49.41B,Transports routiers de fret de proximite,SAINT-DONAT-SUR-L'HERBASSE,26,,sirene
789394335,78939433500028,,TRANSPORT CARTIER,livraison,49.41B,Transports routiers de fret de proximite,NOGENTEL,02,,sirene
333429140,33342914000069,,SOC LORRAINE TRANSPORTS PAR BENNE,livraison,49.41B,Transports routiers de fret de proximite,EPAUX BEZU,02,,sirene
420825085,42082508500012,,TDS,livraison,49.41B,Transports routiers de fret de proximite,LA FERTE-GAUCHER,77,,sirene
430026724,43002672400020,,4 REV,livraison,96.01A,Blanchisserie-teinturerie de gros,SISSONNE,02,,sirene
492432158,49243215800029,,LA BLANCHISSERIE CENTRALE,livraison,96.01A,Blanchisserie-teinturerie de gros,THOUARS,79,,sirene
500060066,50006006600023,,H.T.L. NORD,livraison,49.41B,Transports routiers de fret de proximite,AUDIGNY,02,,sirene
495220667,49522066700051,,LOGITRANS SERVICES,livraison,49.41B,Transports routiers de fret de proximite,FAYET,02,,sirene
418547808,41854780800026,,HOUTCH ENERGIE,livraison,49.41B,Transports routiers de fret de proximite,MUIZON,51,,sirene
413559980,41355998000029,,CHRISTINE STOLARCZYK (MOUTON) (TRANSPORTS STOLARCZYK),livraison,49.41B,Transports routiers de fret de proximite,CROUY,02,,sirene
390458743,39045874300015,,TRANSPORTS WANDERPEPEN,livraison,49.41B,Transports routiers de fret de proximite,LA BOUTEILLE,02,,sirene
317661338,31766133800028,,LEMOINE SAS,livraison,49.41B,Transports routiers de fret de proximite,MONT NOTRE DAME,02,,sirene
398568212,39856821200029,,LOCATION VERSTRAETEN,livraison,49.41B,Transports routiers de fret de proximite,SERAUCOURT-LE-GRAND,02,,sirene
388677833,38867783300013,,NORIS,livraison,49.41B,Transports routiers de fret de proximite,BILLY-SUR-AISNE,02,,sirene
389414434,38941443400024,,PATRAO SA,livraison,49.41B,Transports routiers de fret de proximite,MERCIN-ET-VAUX,02,,sirene
403055213,40305521300017,,TRANSPORTS BACHERY,livraison,49.41B,Transports routiers de fret de proximite,TROSLY-LOIRE,02,,sirene
353626492,35362649200022,,TRANSPORTS LEDOUX,livraison,49.41B,Transports routiers de fret de proximite,GROUGIS,02,,sirene
422323774,42232377400014,,DECOCK TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,LUCY-LE-BOCAGE,02,,sirene
401861562,40186156200031,,CASTEL DIFFUSION SARL,livraison,53.20Z,Autres activites de poste et de courrier,CREZANCY,02,,sirene
437989908,43798990800037,,TRANSOM,livraison,49.41B,Transports routiers de fret de proximite,HARNES,62,,sirene
533631255,53363125500015,,VANATRANS,livraison,49.41B,Transports routiers de fret de proximite,LA NEUVILLE-LES-DORENGT,02,,sirene
511817272,51181727200012,,TRANSPORTS B. WANDERPEPEN,livraison,49.41B,Transports routiers de fret de proximite,LA BOUTEILLE,02,,sirene
501680789,50168078900036,,HET TRANSPORT & LOGISTIQUE,livraison,49.41B,Transports routiers de fret de proximite,SAINT-QUENTIN,02,,sirene
751741935,75174193500017,,VINCENT RUFFY (TRANSPORT RUFFY),livraison,49.41B,Transports routiers de fret de proximite,LES SEPTVALLONS,02,,sirene
791155161,79115516100049,,HPC,livraison,49.41B,Transports routiers de fret de proximite,MAREUIL-SUR-OURCQ,60,,sirene
851484527,85148452700011,,SAS FIQUET ET FILS,livraison,49.41B,Transports routiers de fret de proximite,CELLES-SUR-AISNE,02,,sirene
810859231,81085923100013,,TRANSPORTS DEMICHELET ET FILS,livraison,49.41B,Transports routiers de fret de proximite,TERNY-SORNY,02,,sirene
949372973,94937297300014,,TPS LEBON,livraison,49.41B,Transports routiers de fret de proximite,JUSSY,02,,sirene
917529760,91752976000048,,EXPRESS LOGISTICS,livraison,49.41B,Transports routiers de fret de proximite,VITRY-SUR-SEINE,94,,sirene
303846604,30384660400021,,TRANSODIE,livraison,49.41B,Transports routiers de fret de proximite,BILLY-SUR-AISNE,02,,sirene
317705390,31770539000019,,GPA DEMORTIER ET FILS,livraison,49.41B,Transports routiers de fret de proximite,CREPY,02,,sirene
324871425,32487142500017,,TRANSPORTS ET TERRASSEMENTS LOISEAUX,livraison,49.41B,Transports routiers de fret de proximite,MAGNY-LA-FOSSE,02,,sirene
326328846,32632884600018,,SARL LETANG,livraison,96.01A,Blanchisserie-teinturerie de gros,CHAUNY,02,,sirene
325906253,32590625300035,,TRANS BENNE FRIGO,livraison,49.41B,Transports routiers de fret de proximite,CELLES-SUR-AISNE,02,,sirene
453970782,45397078200034,,BIZET TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,BETHANCOURT-EN-VAUX,02,,sirene
424019412,42401941200024,,THIERACHE TRANS ALIMENT,livraison,49.41B,Transports routiers de fret de proximite,LA FLAMENGRIE,02,,sirene
434438446,43443844600024,,COLIS EXPRESS DE L'AISNE,livraison,49.41B,Transports routiers de fret de proximite,HIRSON,02,,sirene
490565405,49056540500027,,CAMILLE CROQUET (ATL AISNE TRANSPORT LOCATION),livraison,49.41B,Transports routiers de fret de proximite,CHIVY-LES-ETOUVELLES,02,,sirene
490812765,49081276500017,,VECKMAN,livraison,49.41B,Transports routiers de fret de proximite,HARTENNES-ET-TAUX,02,,sirene
500577119,50057711900042,,TRANSPORTS DECLERCK,livraison,49.41B,Transports routiers de fret de proximite,GRICOURT,02,,sirene
790511596,79051159600021,,ISRAEL LAIT,livraison,49.41B,Transports routiers de fret de proximite,LE THUEL,02,,sirene
524494481,52449448100020,,SERVITRANS,livraison,49.41B,Transports routiers de fret de proximite,VENIZEL,02,,sirene
789385986,78938598600011,,TRANSPORTS SCHYTTE,livraison,49.41B,Transports routiers de fret de proximite,LEHAUCOURT,02,,sirene
417552460,41755246000095,,AXEREAL SERVICES,livraison,49.41B,Transports routiers de fret de proximite,OLIVET,45,,sirene
313455545,31345554500118,,SARL MEWA,livraison,96.01A,Blanchisserie-teinturerie de gros,AVERMES,03,,sirene
424749505,42474950500030,,TRANSPORTS BLANQUET ET FILS,livraison,49.41B,Transports routiers de fret de proximite,GERZAT,63,,sirene
935450015,93545001500018,,TRANSPORTS MOULINOIS,livraison,49.41B,Transports routiers de fret de proximite,MOULINS,03,,sirene
534679790,53467979000053,,BAREMM,livraison,53.20Z,Autres activites de poste et de courrier,ORLEANS,45,,sirene
384004602,38400460200031,,TRAVAUX PUBLICS TRANSPORTS MONTGIRAUD,livraison,49.41B,Transports routiers de fret de proximite,LOUROUX-DE-BOUBLE,03,,sirene
411014202,41101420200021,,ATELIERS APAJH 03,livraison,96.01A,Blanchisserie-teinturerie de gros,MONTLUCON,03,,sirene
405404732,40540473200019,,TRANSPORTS JULIEN,livraison,49.41B,Transports routiers de fret de proximite,MOLLES,03,,sirene
339954679,33995467900058,,LA FORESTIERE DU CENTRE,livraison,49.41B,Transports routiers de fret de proximite,SANCOINS,18,,sirene
351665427,35166542700040,,ANETT HUIT,livraison,96.01A,Blanchisserie-teinturerie de gros,THOUARS,79,,sirene
879402949,87940294900017,,SARL CHRONO'TRANS 58,livraison,49.41B,Transports routiers de fret de proximite,VARENNES-VAUZELLES,58,,sirene
797914967,79791496700014,,CENTRE EXPRESS LOGISTIQUE 03,livraison,49.41B,Transports routiers de fret de proximite,MONTMARAULT,03,,sirene
513546218,51354621800019,,STEPHANE CHAMBONNIERE,livraison,49.41B,Transports routiers de fret de proximite,CUSSET,03,,sirene
323075945,32307594500028,,TRANSPORTS YZEURIENS,livraison,49.41B,Transports routiers de fret de proximite,YZEURE,03,,sirene
323177832,32317783200033,,PERRENOT BONNAFOUX,livraison,49.41B,Transports routiers de fret de proximite,SAINT-DONAT-SUR-L'HERBASSE,26,,sirene
381335322,38133532200032,,ETABLISSEMENTS GENESTIER,livraison,49.41B,Transports routiers de fret de proximite,SEUILLET,03,,sirene
397429770,39742977000035,,SARL TRANSPORTS RAMET PROUST,livraison,49.41B,Transports routiers de fret de proximite,MONTBELLET,71,,sirene
451838411,45183841100010,,BOURBONNAIS EXPRESS,livraison,49.41B,Transports routiers de fret de proximite,COGNAT-LYONNE,03,,sirene
525023297,52502329700019,,HYOTRANS,livraison,49.41B,Transports routiers de fret de proximite,MONTLUCON,03,,sirene
839334208,83933420800015,,AL TRANS,livraison,49.41B,Transports routiers de fret de proximite,YZEURE,03,,sirene
316973841,31697384100034,,TRANSVAC,livraison,49.41B,Transports routiers de fret de proximite,SAINT-POURCAIN-SUR-SIOULE,03,,sirene
400922639,40092263900010,,ZINQ LOGISTIQUE,livraison,49.41B,Transports routiers de fret de proximite,SAINT-POURCAIN-SUR-SIOULE,03,,sirene
424385227,42438522700022,,HANGGELI TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,BROUT-VERNET,03,,sirene
402442206,40244220600015,,TRANS CHATILLONAIS,livraison,49.41B,Transports routiers de fret de proximite,CHATILLON,03,,sirene
348394354,34839435400032,,TRANSCOM,livraison,49.41B,Transports routiers de fret de proximite,COSNE-D'ALLIER,03,,sirene
411072994,41107299400014,,JEUDY TRANSPORTS SARL,livraison,49.41B,Transports routiers de fret de proximite,LE MONTET,03,,sirene
828608836,82860883600015,,ENVIRONNEMENT LOGISTIQUE,livraison,49.41B,Transports routiers de fret de proximite,DOMERAT,03,,sirene
353172570,35317257000031,,DESORMIERE TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,SAINT-MARTIN-D'ESTREAUX,42,,sirene
514520550,51452055000047,,MAO TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,SAINT-VICTOR,03,,sirene
501270946,50127094600012,,TRANSPORT YASMINE,livraison,49.41B,Transports routiers de fret de proximite,YZEURE,03,,sirene
964800221,96480022100035,,TRANSPORT MILLO GARCIN,livraison,49.41B,Transports routiers de fret de proximite,LE MUY,83,,sirene
814864161,81486416100017,,DISTRICOLIS 04,livraison,49.41B,Transports routiers de fret de proximite,GAP,05,,sirene
841824626,84182462600052,,IB LOGISTIC,livraison,49.41B,Transports routiers de fret de proximite,VERQUIERES,13,,sirene
917691123,91769112300017,,FIGUIERE TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,SAINT-VINCENT-SUR-JABRON,04,,sirene
398858837,39885883700014,,TRABUC RN SARL,livraison,49.41B,Transports routiers de fret de proximite,CHAMPTERCIER,04,,sirene
482381845,48238184500015,,MUS T.T.P.,livraison,49.41B,Transports routiers de fret de proximite,REVEST-DU-BION,04,,sirene
497762708,49776270800012,,TRANSPORTS PETIT,livraison,49.41B,Transports routiers de fret de proximite,REILLANNE,04,,sirene
350444972,35044497200037,,TRANSPORTS MERLE FILS,livraison,49.41B,Transports routiers de fret de proximite,ORAISON,04,,sirene
342317948,34231794800012,,TRABUC ET CIE,livraison,49.41B,Transports routiers de fret de proximite,SISTERON,04,,sirene
402000285,40200028500021,,ALPES TRANSPORTS LOCATION,livraison,49.41B,Transports routiers de fret de proximite,MANOSQUE,04,,sirene
326576345,32657634500010,,SARL MARTINON NICE TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,NICE,06,,sirene
387250483,38725048300014,,GEODIS D&E HAUTES ALPES,livraison,49.41B,Transports routiers de fret de proximite,GAP,05,,sirene
438101180,43810118000059,,TRANSPORTS LAMUR,livraison,49.41B,Transports routiers de fret de proximite,CHATEAU-ARNOUX-SAINT-AUBAN,04,,sirene
503366130,50336613000113,,TRANSPRO FRANCE,livraison,49.41B,Transports routiers de fret de proximite,MONTAUBAN,82,,sirene
394120133,39412013300035,,TRANS DISTRIBUTION,livraison,49.41B,Transports routiers de fret de proximite,LAZER,05,,sirene
440203529,44020352900027,,DISTRICOLIS,livraison,49.41B,Transports routiers de fret de proximite,GAP,05,,sirene
498893296,49889329600018,,PERRENOT SAVOIE,livraison,49.41B,Transports routiers de fret de proximite,SAINT-DONAT-SUR-L'HERBASSE,26,,sirene
306003468,30600346800049,,BLANCHISSERIE DES ALPES,livraison,96.01A,Blanchisserie-teinturerie de gros,BRIANCON,05,,sirene
390628485,39062848500018,,EXPRESS LIVRAISON,livraison,49.41B,Transports routiers de fret de proximite,GAP,05,,sirene
341414928,34141492800018,,TRANSPORT VILLARD,livraison,49.41B,Transports routiers de fret de proximite,ANCELLE,05,,sirene
386450472,38645047200033,,SA TRANSPORTS DAVIN,livraison,49.41B,Transports routiers de fret de proximite,CHORGES,05,,sirene
451003297,45100329700012,,ALPES BLANCHISSERIE INSERTION,livraison,96.01A,Blanchisserie-teinturerie de gros,LA SAULCE,05,,sirene
424881506,42488150600036,,L S TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,GAP,05,,sirene
415088780,41508878000036,,TRANS'PRIM,livraison,49.41B,Transports routiers de fret de proximite,GAP,05,,sirene
382606093,38260609300021,,BLANCHISSERIE NOUVELLE,livraison,96.01A,Blanchisserie-teinturerie de gros,L'ARGENTIERE-LA-BESSEE,05,,sirene
409717881,40971788100034,,TRANSPORTS SABATIER,livraison,49.41B,Transports routiers de fret de proximite,LA SAULCE,05,,sirene
425136686,42513668600036,,MANUTENTION REPARATION ACHEMINEMENT,livraison,49.41B,Transports routiers de fret de proximite,ROGNAC,13,,sirene
479802225,47980222500033,,LOCICERO COURSES EXPRESS,livraison,53.20Z,Autres activites de poste et de courrier,GAP,05,,sirene
353655145,35365514500012,,STE DES TRANSPORTS MATHERON,livraison,49.41B,Transports routiers de fret de proximite,GAP,05,,sirene
511385502,51138550200014,,ANDRE TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,LA ROCHETTE,05,,sirene
522402353,52240235300018,,POLDER TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,LAZER,05,,sirene
332773092,33277309200041,,FRANCE COLIS EXPRESS,livraison,53.20Z,Autres activites de poste et de courrier,NICE,06,,sirene
333295137,33329513700041,,COURRIER TRANSPORT MIMETAINS,livraison,49.41B,Transports routiers de fret de proximite,VITROLLES,13,,sirene
400806105,40080610500088,,AUTO BEST DEPANNAGE TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,NICE,06,,sirene
390264646,39026464600030,,TRANSPORTS N.J.S FARAMIA,livraison,49.41B,Transports routiers de fret de proximite,VITROLLES,13,,sirene
488119058,48811905800011,,TEA MARSEILLE,livraison,49.41B,Transports routiers de fret de proximite,VITROLLES,13,,sirene
952793206,95279320600014,,SOCIETE D'EXPLOITATION DES ETABLISSEMENTS HELP,livraison,49.41B,Transports routiers de fret de proximite,NICE,06,,sirene
388534109,38853410900052,,TRANSCOURRIER,livraison,53.20Z,Autres activites de poste et de courrier,MARSEILLE,13,,sirene
531522365,53152236500018,,DAUPHIBLANC PROVENCE,livraison,96.01A,Blanchisserie-teinturerie de gros,SOLEYMIEU,38,,sirene
319997029,31999702900107,,TRANSPORTS & DISTRIBUTIONS ROUTIERS,livraison,49.41B,Transports routiers de fret de proximite,VITROLLES,13,,sirene
833959406,83395940600012,,S.T.M -SOCIETE DE TRANSPORTS MARSEILLAIS,livraison,49.41B,Transports routiers de fret de proximite,MARSEILLE,13,,sirene
300983517,30098351700065,,SENDSIO,livraison,49.41B,Transports routiers de fret de proximite,PARIS,75,,sirene
415268168,41526816800010,,TRANSPORTS MILLO,livraison,49.41B,Transports routiers de fret de proximite,PEILLON,06,,sirene
419479852,41947985200016,,SARL AZUR TRANSPORT EXPRESS,livraison,49.41B,Transports routiers de fret de proximite,NICE,06,,sirene
431744093,43174409300029,,TRANS UNION,livraison,49.41B,Transports routiers de fret de proximite,SAINT-JEANNET,06,,sirene
501035455,50103545500069,,PROVENCE ALPES COTE D'AZUR TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,MOUANS-SARTOUX,06,,sirene
412127896,41212789600055,,A F TRANSPORTS,livraison,49.41B,Transports routiers de fret de proximite,BONDOUFLE,91,,sirene
892230269,89223026900037,,LILOU LOGISTIQUE,livraison,49.41B,Transports routiers de fret de proximite,REIMS,51,,sirene
423806264,42380626400044,,BIO SERVICE LOGISTIQUE B.S.L.,livraison,49.41B,Transports routiers de fret de proximite,MARSEILLE,13,,sirene
803015064,80301506400022,,COLIPAQ,livraison,49.41B,Transports routiers de fret de proximite,COLOMARS,06,,sirene
895359370,89535937000015,,SDS TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,VAULX-EN-VELIN,69,,sirene
622018273,62201827300053,,S.T.H.HIPAVIA,livraison,49.41B,Transports routiers de fret de proximite,LAMORLAYE,60,,sirene
510195134,51019513400026,,PROVENCE DISTRIBUTION LOGISTIQUE,livraison,49.41B,Transports routiers de fret de proximite,BRIGNOLES,83,,sirene
389345240,38934524000037,,IMPERIAL LEVAGE,livraison,49.41B,Transports routiers de fret de proximite,MARSEILLE,13,,sirene
392410551,39241055100031,,AT,livraison,49.41B,Transports routiers de fret de proximite,BLAUSASC,06,,sirene
415282938,41528293800026,,REGIS NICOLAS,livraison,49.41B,Transports routiers de fret de proximite,MOUGINS,06,,sirene
417794526,41779452600034,,SUD LIVRAISONS,livraison,53.20Z,Autres activites de poste et de courrier,NICE,06,,sirene
890446552,89044655200055,,TRANSPORT SF,livraison,49.41B,Transports routiers de fret de proximite,GRENOBLE,38,,sirene
412725319,41272531900013,,LCT,livraison,49.41B,Transports routiers de fret de proximite,FREJUS,83,,sirene
892802638,89280263800015,,TRUST TRANSPORT SERVICES,livraison,49.41B,Transports routiers de fret de proximite,MARSEILLE,13,,sirene
493299887,49329988700015,,TRANSMAIL,livraison,49.41B,Transports routiers de fret de proximite,ROMANS-SUR-ISERE,26,,sirene
413899212,41389921200018,,TAPIDAIMPLUS,livraison,96.01A,Blanchisserie-teinturerie de gros,BRIGNOLES,83,,sirene
509890943,50989094300012,,PERRENOT GRASSE,livraison,49.41B,Transports routiers de fret de proximite,SAINT-DONAT-SUR-L'HERBASSE,26,,sirene
512288267,51228826700044,,BLANCHER PROVENCE COTE D'AZUR,livraison,49.41B,Transports routiers de fret de proximite,AGEN,47,,sirene
970801114,97080111400012,,SOC S O M A T E R,livraison,49.41B,Transports routiers de fret de proximite,LANTOSQUE,06,,sirene
972801054,97280105400024,,TRANSPORTS BLANCHI,livraison,49.41B,Transports routiers de fret de proximite,CONTES,06,,sirene
429671241,42967124100025,,BOVIS COTE D'AZUR,livraison,49.41B,Transports routiers de fret de proximite,CARROS,06,,sirene
332400191,33240019100034,,LES TRANSPORTS DU BAR,livraison,49.41B,Transports routiers de fret de proximite,LE BAR-SUR-LOUP,06,,sirene
491755658,49175565800045,,TRANSPORTS DES ALPES MARITIMES,livraison,49.41B,Transports routiers de fret de proximite,MOUGINS,06,,sirene
483342473,48334247300061,,ATEM,livraison,49.41B,Transports routiers de fret de proximite,CAGNES-SUR-MER,06,,sirene
824380505,82438050500019,,TELP,livraison,49.41B,Transports routiers de fret de proximite,CARROS,06,,sirene
422182667,42218266700010,,COLISUD EXPRESS,livraison,53.20Z,Autres activites de poste et de courrier,NICE,06,,sirene
521564500,52156450000036,,TAS,livraison,49.41B,Transports routiers de fret de proximite,FRONTENAY-ROHAN-ROHAN,79,,sirene
531551224,53155122400037,,AZUR LINGE SERVICE,livraison,96.01A,Blanchisserie-teinturerie de gros,GRASSE,06,,sirene
503133530,50313353000025,,STE,livraison,49.41B,Transports routiers de fret de proximite,PEGOMAS,06,,sirene
751941626,75194162600028,,BRL,livraison,49.41B,Transports routiers de fret de proximite,DRAP,06,,sirene
752361519,75236151900032,,MILEA TRANSPORT,livraison,49.41B,Transports routiers de fret de proximite,PARIS,75,,sirene
